Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo
,314583,,De'Longhi ECAM125.120.SB Vollautomat,,,,,549.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314584,,De'Longhi ECAM 25.120.B Vollautomat,,,,,499.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314585,,De'Longhi ECAM 25.467.S Vollautomat,,,,,899.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314586,,De'Longhi S ECAM 28.467 PrimaDonna V,,,,,"1,149.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314587,,De'Longhi ECAM 25.467.B Vollautomat,,,,,849.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314534,,De'Longhi ESAM04.120.S Vollautomat,,,,,559.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314538,,De'Longhi ETAM36.365.M Volla.Edelst.,,,,,"1,399.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314539,,De'Longhi ETAM 36.365MB Volla. Edel,,,,,"1,199.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,A 314562,,De'Longhi ESAM04110B Vollautom.Magni,,,,,649.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314576,,De'Longhi ESAM6750 Vollautom. Chrom,,,,,"1,599.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314582,,De'Longhi ESAM3600EX1 Volla.Magnif.,,,,,"1,090.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,314563,,"De'Longhi ESAM6650 Vollautom., Chrom",,,, 818.00 € ,"1,399.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314416,,De'Longhi ESAM3500.S Espr.Vollautomat,,,, 469.00 € ,999.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314505,,De'Longhi ECAM22.3605 Vollautomat Ma,,,, 580.00 € ,899.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314509,,De'Longhi ECAM22.360B Vollautomat Ma,,,, 569.00 € ,849.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,A 314530,,De'Longhi ESAM04.320S Vollautomat Ma,,,, 438.00 € ,899.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314532,,De'Longhi ESAM6900.M Vollautom.Silb,,,," 1,239.00 € ","1,999.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314543,,De'Longhi ESAM3200SEX Espr.Vollautom,,,, 279.95 € ,599.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314547,,De'Longhi ESAM3000BEX Espr.Vollautom  ,,,, 249.95 € ,549.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,A 314551,,De'Longhi ECAM23.450.B Kaffeevollau,,,, 534.00 € ,899.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,A 314552,,De'Longhi ECAM23420SR Espressoautom,,,, 399.00 € ,699.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314560,,De'Longhi ESAM5500.M EX1 Volla.Perfe,,,, 499.00 € ,"1,099.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314579,,De'Longhi ECAM26.455.BWB Vollautom.Z,,,, 839.00 € ,"1,199.00 €",1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314588,,De'Longhi ESAM 5700 Vollautomat,,,, 641.00 € ,949.00 €,1,De'Longhi,Espressovollautomat-意式全自动咖啡机,,,,,,,,,,,,,,,
,314541,,De'Longhi EN80.CW Nespr.Inissia.Crea,,vanilla cream,, 74.70 € ,99.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314581,,De'Longhi EN210.BAE Nespr. UMilk.sw.,,,, 148.95 € ,199.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,A 314589,,De'Longhi EN80.GY Nespr.Inissia.Grey,,grau ,, 74.70 € ,99.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314590,,De'Longhi EN80BAE Nesp+Aeroccino.sw.,,schwarz ,, 119.50 € ,159.00 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314591,,De'Longhi EN750.MB Nesp.Lattiss.Ma.A,,Aluminium gebürstet,,,499.00 €,1,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,Für den Bezug dieses Gerätes ist ein Vertriebsbezugsvertrag notwendig.,,,,,,,,,,,,,,
,N 314592,,De'Longhi EN550.B Nespr.Lat.Touch sw,, schwarz ,, 219.95 € ,299.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,N 314594,,De'Longhi EN550.W Nespr.Lat.Touch ws,,weiß ,, 219.95 € ,299.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,N 314596,,De'Longhi EN550.R Nespr.Lat.Touch rt,,rot ,, 219.95 € ,299.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,A 314627,,De'Longhi EN 660 Nespressoautomat ws,,creamy white ,, 189.00 € ,349.00 €,1,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314452,,De'Longhi EN520.DB Nespr.Lattissimax,,dunkelBRAUNun ,, 219.95 € ,299.00 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314454,,De'Longhi EN520.PW Nespr.Lattissimax,,weiß ,, 219.95 € ,299.00 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314501,,De'Longhi EN125.R Nespresso Pixie RT,,rot ,, 106.95 € ,149.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314503,,De'Longhi EN450.CW Nespr.Maestria CR,,crema ,, 349.00 € ,449.00 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314507,,De'Longhi EN470.SAE Nespr.Maestria,,platinium,, 464.00 € ,599.00 €,1,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314510,,De'Longhi EN126 Nespresso Pixie Clip,,schwarz (farbige Seitenteile) ,, 105.95 € ,149.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314512,,De'Longhi EM125.S si.Nespresso Pixie,,silber ,, 106.95 € ,149.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,A 314513,,De'Longhi EN125.SAE Nesp.Pixie+Aeroc,,electric aluminium ,, 154.95 € ,219.99 €,1,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314514,,De'Longhi EN125.L grün NespressoPixi,,grün,, 106.95 € ,149.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,A 314517,,De'Longhi EN520.W Nespresso Lattissi,,silky white ,, 206.95 € ,279.00 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,A 314518,,De'Longhi EN520.R Nespresso Lattiss,,passion red ,, 206.95 € ,279.00 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314520,,De'Longhi EN110.B Nespresso U schwar,,schwarz ,, 92.95 € ,139.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
,314521,,De'Longhi EN110.O Nespresso U orang,,orange ,, 99.95 € ,139.99 €,2,De'Longhi,Nespressoautomat-雀巢Nespresso胶囊咖啡机,,,,,,,,,,,,,,,
